box,artist,name,version,tag
1,חווה אלברשטיין,השנים הראשונות,16 דיסקים,
1,חווה אלברשטיין,בשירים עבריים,,
1,חווה אלבשרטיין,פרח הלילך,,
1,חווה אלבשרטיין,והפלטינה,,
1,חווה אלברשטיין,מרדף,,
1,חווה אלברשטיין,לו יהי,,
1,חווה אלברשטיין,לו יהי,הוקלט בהופעה פומבית,
1,חווה אלברשטיין,בתכנית יחיד,,
1,חווה אלברשטיין,והפלטינה,,
1,חווה אלברשטיין,והפלטינה,,
1,חווה אלברשטיין,כמו צמח בר,,
1,חווה אלברשטיין,התבהרות,,
1,חווה אלברשטיין,הלילה הוא שירים,,
1,חווה אלברשטיין,נמל בית,,
1,חווה אלברשטיין,שרה לילדים צוללת צברית,,
1,חווה אלברשטיין,הצורך במילה,,
1,חווה אלברשטיין,לונדון,,
1,חווה אלברשטיין,מהגרים,,
1,חווה אלברשטיין,להיטי זהב,,
1,חווה אלברשטיין,שירי ילדים צעצועיה של אסנת,,
1,חווה אלברשטיין,אישה באבטיח,,
1,חווה אלברשטיין,ואמנון מסקין אנדנדינו,,
1,חווה אלברשטיין,טיקיליטון,,
1,חווה אלברשטיין,האבן מיר אניגנדו,,
1,חווה אלברשטיין,מארגאריטעלעך,,
1,חווה אלברשטיין,זיגנט יידיש,,
1,חווה אלברשטיין,עוד שירים ביידיש,,
1,חווה אלברשטיין,שירי פולקלור יהודיים (ספרדית),,
1,חווה אלברשטיין,ואיך אצלך,,
1,אלג'יר מנועים,קדימה,,
1,דודו אלהרר,בולבול טרנג,,
1,דודו אלהרר,הענק מארץ קנאק,,
1,דודו אלהרר,שרץ שרץ תרדוף,,
1,דודו אלהרר,איזה יום יפה,,
1,דודו אלהרר,תקליט הילד ניסים,שדרים,
1,גדי אלון,SING OBELOVED LAND,,
1,גדי אלון,STELS SHOW תקליטון,,
1,גדי אלון,ירושלים,,
1,גבע אלון,תהיי איתי,,
1,גבע אלון,מחפש שמיים,,
1,גבע אלון,פולואו,,
1,גבע אלון,GET CLOSER,,
1,יגאל אלון,שירים שאהב,,
1,יוסי אלון,להיט מהצפון,,
1,אפרת אלוני,מתחילים להבין,,
1,מירי אלוני מונה ליזה של המאה ה,20,,
1,מירי אלוני,טיפה אהבה,,
1,מירי אלוני,אליהו,,
1,עמוס אלוני,וחלילו,,
1,אלוף בצלות,ואלוף שום מחזמר,,
1,רן אלירן,מארבע רוחות שמיים,,
1,רן אלירן,1968,,
1,רן אלירן,תן לשיר,,
1,רן אלירן,בג'רי קוקלב LA,,
1,רן אלירן,זר של פזמונים,,
1,רן אלירן,נוסטלגיה זה כבר לא מה שהיה,,
1,רן אלירן,זה שיגעון,,
1,רן אלירן,פיצ'רינג סונג אוף דה סיקס דיי וור,,
1,רן אלירן,זר של פזמונים,,
1,רן אלירן,לה במבה,,
1,רן אלירן,פסיכדלי,,
1,רן אלירן,ניו סאונדס אוף ישראל,,
1,רן אלירן,מודרנ מודס אוף ישראל,,
1,רן אלירן,וואט דו יו דו וון יו אר יאנג אנד וויט אנד ג'ו,,
1,רן אלירן,הום וורלד,,
1,רן אלירן,טוויליט סונגס אוף ישראל,,
1,רן אלירן,דה בסט אוף,,
1,רן אלירן,גולדן סונגס אוף ישראל,,
1,רן אלירן,לדינו,,
1,רן אלירן,סינגס,,
1,רן אלירן,ווינדוס אוף דה וורלד,,
1,רן אלירן,ושלום סינגרס לטס אול סינג אלונג,,
2,אלינור שרה,נעמי שמר,,
2,שרה אלכסנדר,שלום,,
2,אלכסנדרה,,,
2,אלכסנדרה,יקלוט,,
2,אלכסנדרה,ועודד,,
2,גילה אלמגור,לולה הקטנה,,
2,גילה אלמגור,כמעט חזקה,,
2,גילה אלמגור,כמעט חזקה,שדרים,
2,אשר אלמגרבי,חסן אבו פיתה,,
2,ויקטור אלמגריבי,,,
2,אלף נשיקות,קטנות הסרט,פסקול,
2,זוהרה אלפסיה,,,
2,אסתר אלפסי,,,
2,יוסי אלפנט,למה פיל אבוד,,
2,יוסי אלפנט,שיר הדביל,,
2,יוסי אלפנט,סוזן,,
2,יוסי אלפנט,למה פיל איך כש,,
2,יוסי אלפנט,רום 101,,
2,אלקטרה,,,
2,אלקטריק זו,,,
2,ג'קי אלקיים,לך קריית גת,,
2,ג'קי אלקיים,,,
2,ג'קי אלקיים,מבחר שירים מהקלטת,,
2,ג'קי אלקיים,בזכות באבא סלי,,
2,עשור אלקיים,הפסנתר המזמר,,
2,עם אשכח,"ירושלים, שירי ירושלים מאז ועד היום",,
2,אמא קטנה,,,
2,אסף אמדורסקי,אלבום בכורה,,
2,אסף אמדורסקי,השמים הכחולים,,
2,אסף אמדורסקי,מנועים שקטים,,
2,אסף אמדורסקי,הרי את,,
2,אסף אמדורסקי,פה,,
2,אסף אמדורסקי,432,,
2,בני אמדורסקי,,,
2,"עשור לאמי,",אגודת אמני ישראל. אמני ישראל שרים,,
2,דני אמיר,נסיגה בשלבים,,
2,אנ אמ,סי (NMC) פרומו,דיסקים,
2,אנג'לה חבלה,יוונית עם בן מוש,,
2,אנגלית קלה,,,
2,The angelcy,,,
2,אנו נהיה,הראשונים,,
2,אנו נהיה,הראשונים 1,,
2,אנו נהיה,הראשונים 2,,
2,אנו עולים,"ושרים, שירי השומר הצעיר",,
2,אנו עולים,"ושרים, שירים השומר הצעיר 2",,
2,אנחנו כאן,1,,
2,אנחנו כאן,2,,
2,אנחנו כאן,3,,
2,אנחנו לא,נספיק לשיר ירוק,,
2,אנחנו לא,נפסיק לשיר טיילת תל אביב,,
2,אנחנו לא,נפסיק לשיר כותל,,
2,אנחנו שרים,לך,,
2,אני ואת,ושירים,,
2,אני לא,מפחד מהגן,,
