box,id_letter,artist,name,notes
1,א,חווה אלברשטיין,השנים הראשונות 16 דיסקים,
1,א,חווה אלברשטיין ,בשירים עבריים,
1,א,חווה אלבשרטיין ,פרח הלילך,
1,א,חווה אלבשרטיין והפלטינה,,
1,א,חווה אלברשטיין ,מרדף,
1,א,חווה אלברשטיין ,לו יהי,
1,א,חווה אלברשטיין ,בתכנית יחיד הוקלט בהופעה פומבית,
1,א,חווה אלברשטיין ,בתכנית יחיד,
1,א,חווה אלברשטיין והפלטינה,,
1,א,חווה אלברשטיין והפלטינה,,
1,א,חווה אלברשטיין ,כמו צמח בר,
1,א,חווה אלברשטיין ,התבהרות,
1,א,חווה אלברשטיין ,הלילה הוא שירים,
1,א,חווה אלברשטיין ,נמל בית,
1,א,חווה אלברשטיין ,שרה לילדים צוללת צברית,
1,א,חווה אלברשטיין ,הצורך במילה,
1,א,חווה אלברשטיין ,לונדון,
1,א,חווה אלברשטיין ,מהגרים,
1,א,חווה אלברשטיין, להיטי זהב,
1,א,חווה אלברשטיין ,שירי ילדים צעצועיה של אסנת,
1,א,חווה אלברשטיין ,אישה באבטיח,
1,א,חווה אלברשטיין ,ואמנון מסקין אנדנדינו ,
1,א,חווה אלברשטיין ,טיקיליטון,
1,א,חווה אלברשטיין ,האבן מיר אניגנדו,
1,א,חווה אלברשטיין ,מארגאריטעלעך,
1,א,חווה אלברשטיין ,זיגנט יידיש,
1,א,חווה אלברשטיין ,עוד שירים ביידיש,
1,א,חווה אלברשטיין ,שירי פולקלור יהודיים (ספרדית),
1,א,חווה אלברשטיין,ואיך אצלך,
1,א,אלג'יר ,מנועים קדימה,
1,א,דודו אלהרר ,בולבול טרנג,
1,א,דודו אלהרר ,הענק מארץ קנאק,
1,א,דודו אלהרר ,שרץ שרץ תרדוף,
1,א,דודו אלהרר , איזה יום יפה,
1,א,דודו אלהרר ,תקליט שדרים הילד ניסים,
1,א,גדי אלון ,SING OBELOVED LAND,
1,א,גדי אלון ,STELS SHOW תקליטון,
1,א,גדי אלון ,ירושלים,
1,א,גבע אלון ,תהיי איתי,
1,א,גבע אלון ,מחפש שמיים,
1,א,גבע אלון ,פולואו,
1,א,גבע אלון ,GET CLOSER,
1,א,יגאל אלון, שירים שאהב,
1,א,יוסי אלון ,להיט מהצפון,
1,א,אפרת אלוני ,מתחילים להבין,
1,א,מירי אלוני ,מונה ליזה של המאה ה-20,
1,א,מירי אלוני ,טיפה אהבה,
1,א,מירי אלוני ,אליהו ,
1,א,עמוס אלוני וחלילו,,
1,א,אלוף בצלות ואלוף שום מחזמר,,
1,א,רן אלירן ,מארבע רוחות שמיים,
1,א,רן אלירן ,1968,
1,א,רן אלירן,תן לשיר,
1,א,רן אלירן ,בג'רי קוקלב LA,
1,א,רן אלירן ,זר של פזמונים,
1,א,רן אלירן ,נוסטלגיה זה כבר לא מה שהיה,
1,א,רן אלירן ,זה שיגעון,
1,א,רן אלירן ,פיצ'רינג סונג אוף דה סיקס דיי וור,
1,א,רן אלירן ,זר של פזמונים,
1,א,רן אלירן ,לה במבה,
1,א,רן אלירן ,פסיכדלי,
1,א,רן אלירן ,ניו סאונדס אוף ישראל,
1,א,רן אלירן ,מודרנ מודס אוף ישראל,
1,א,רן אלירן ,וואט דו יו דו וון יו אר יאנג אנד וויט אנד ג'ו,
1,א,רן אלירן ,הום וורלד,
1,א,רן אלירן ,טוויליט סונגס אוף ישראל,
1,א,רן אלירן ,דה בסט אוף,
1,א,רן אלירן ,גולדן סונגס אוף ישראל,
1,א,רן אלירן,לדינו,
1,א,רן אלירן ,סינגס,
1,א,רן אלירן ,ווינדוס אוף דה וורלד,
1,א,רן אלירן ושלום סינגרס ,לטס אול סינג אלונג,
2,א,אלינור שרה נעמי שמר,,
2,א,שרה אלכסנדר שלום,,
2,א,אלכסנדרה ,,
2,א,אלכסנדרה יקלוט,,
2,א,אלכסנדרה ועודד,,
2,א,גילה אלמגור ,לולה הקטנה,
2,א,גילה אלמגור ,כמעט חזקה,
2,א,גילה אלמגור ,כמעט חזקה שדרים,
2,א,אשר אלמגרבי ,חסן אבו פיתה,
2,א,ויקטור אלמגריבי,,
2,א,אלף נשיקות קטנות פסקול הסרט,,
2,א,זוהרה אלפסיה,,
2,א,אסתר אלפסי,,
2,א,יוסי אלפנט ,למה פיל אבוד,
2,א,יוסי אלפנט ,שיר הדביל,
2,א,יוסי אלפנט ,סוזן,
2,א,יוסי אלפנט ,למה פיל איך כש,
2,א,יוסי אלפנט ,רום 101,
2,א,אלקטרה,,
2,א,אלקטריק זו,,
2,א,ג'קי אלקיים ,לך קריית גת,
2,א,ג'קי אלקיים ,,
2,א,ג'קי אלקיים ,מבחר שירים מהקלטת,
2,א,ג'קי אלקיים ,בזכות באבא סלי,
2,א,עשור אלקיים הפסנתר המזמר,,
2,א,"אם אשכח ירושלים, שירי ירושלים מאז ועד היום",,
2,א,אמא קטנה,,
2,א,אסף אמדורסקי ,אלבום בכורה,
2,א,אסף אמדורסקי ,השמים הכחולים,
2,א,אסף אמדורסקי ,מנועים שקטים,
2,א,אסף אמדורסקי ,הרי את,
2,א,אסף אמדורסקי ,פה,
2,א,אסף אמדורסקי ,432,
2,א,בני אמדורסקי ,,
2,א,"עשור לאמי, אגודת אמני ישראל. אמני ישראל שרים",,
2,א,דני אמיר ,נסיגה בשלבים,
2,א,אנ אמ סי (NMC) פרומו דיסקים,,
2,א,אנג'לה חבלה יוונית עם בן מוש,,
2,א,אנגלית קלה,,
2,א,The angelcy,,
2,א,אנו נהיה הראשונים,,
2,א,אנו נהיה הראשונים ,1,
2,א,אנו נהיה הראשונים ,2,
2,א,"אנו עולים ושרים, שירי השומר הצעיר",1,
2,א,"אנו עולים ושרים, שירים השומר הצעיר ",2,
2,א,אנחנו כאן ,1,
2,א,אנחנו כאן ,2,
2,א,אנחנו כאן ,3,
2,א,אנחנו לא נספיק לשיר ירוק,,
2,א,אנחנו לא נפסיק לשיר טיילת תל אביב,,
2,א,אנחנו לא נפסיק לשיר כותל,,
2,א,אנחנו שרים לך,,
2,א,אני ואת ושירים,,
2,א,אני לא מפחד מהגן ,,
2,א,אני לא מפחד מכיתה א,,
2,א,אני ציוני,,
2,א,אני אשתגע,,
2,א,האנסמבל הישראלי לכלי פריטה,,
2,א,מרגלית אנקורי ,מוכרחים לזוז,
2,א,מרגלית אנקורי ,היו ימים,
2,א,אתי אנקרי ,רואה לך בעיניים,
2,א,אנרגיה חולנית,,
2,א,ספיחס אסקימו לימון,4,
2,א,אסקימו לימון ,,
2,א,אסקימו לימון שיפשוף נעים,3,
2,א,אסקימו לימון יוצאים קבוע,,
2,א,אסקימו לימון באנגלית,,
2,א,16 להיטים מהסרט אסקימו לימון שירים מקוריים,,
2,א,אף אוזן גרון שמש אחת,,
2,א,אפור גשום תנשמת,,
2,א,אפור גשום שעון החול,,
2,א,אפור גשום מקום אחר,,
2,א,קורין אלאל ,אצבעות שמחות,
2,א,נועם אקוטונס ,זר דפנה לנצח,
2,א,אקסודוס,,
2,א,עופר אקרלינג ,לא רוצה לזמביה,
2,א,עופר אקרלינג ,ילדי טלויזיה,
2,א,גרי אקשטיין ,מחזור א',
2,א,ג'רי אקשטיין ,לא לשידור,
2,א,גרי אקשטיין, עבודת יד,
2,א,גרי אקשטיין ,גדליהו והמסטוק מספר החתול שמיל,
2,א,יורם ארבל ,(בקופסא תקליט יקר),
2,א,יורם ארבל ,מספר הבית ברחוב פיציקטו,
2,א,4 קולות,,
2,א,14 האוקטבות,,
2,א,14 אוקטבות מהדורה חדשה,,
2,א,44 שעות בירושלים ביקור הנשיא סעדת בעברית,,
2,א,44 שעות בירושלים ביקור הנשיא סעדת אנגלית ,,
2,א,שיר אהבה חיילי לסאשה ארגוב,,
2,א,שרון ארון שירים ישראליים,,
3,א,זוהר ארגוב ,חייו ומותו של המלך מארז 17 דיסקים,
3,א,זוהר ארגוב ,כך עוברים חיי,
3,א,זוהר ארגוב ,להיות אדם,
3,א,זוהר ארגוב ,היו זמנים,
3,א,זוהר ארגוב ,אמריקה שלי,
3,א,זוהר ארגוב ,אלינור,
3,א,זוהר ארגוב ,נכון להיום,
3,א,זוהר ארגוב ,נכון להיום מהדורה מקורית ,
3,א,זוהר ארגוב ,אלינור מהדורה חדשה,
3,א,סשה ארגוב עדנה גורן וקובי רכט,,
3,א,נגה ארז ,OF THE REDAR,
3,א,נגה ארז ,AGAINST THE MACHIN,
3,א,ראובן ארז ,דחף פנימי,
3,א,ראובן ארז ,נער הלילה,
3,א,ארז פרופר, ליידי,
3,א, ירדנה ארזי ,אתה לי ארץ,
3,א,ירדנה ארזי ,דרישת שלום,
3,א,ירדנה ארזי ,עוד יום אחד,
3,א,ירדנה ארזי ,נשמה צענית,
3,א,ירדנה ארזי ,ריח דבש וריח מנטה,
